participant_id,age,gender,country_live_longest,country_musical_enculturation,lyric_language,favorite_genre,years_formal_training,understood_yes_or_no,overlay_pref
24,19,Female,CN,CN,ZH,Classical-music,6,Yes,Side-by-Side
6,23,Male,SG,GB,EN,Rock,4,Yes,Side-by-Side
10,22,Female,KR,KR,KO,Pop,0,Yes,Overlaid
44,22,Male,CN,SG,EN,Classical-music,8,Yes,Overlaid
46,21,Female,CN,CN,ZH,Classical-music,10,Yes,Side-by-Side
4,22,Male,SG,SG,ZH,Pop,6,Yes,Side-by-Side
35,21,Female,SG,SG,KO,Pop,1,Yes,Side-by-Side
5,22,Female,SG,CN,EN,Rhythm-and-Blues,9,Yes,Side-by-Side
28,21,Female,SG,GB,EN,Indie-Rock,8,Yes,Side-by-Side
9,23,Male,SG,SG,ZH,Pop,11,Yes,Side-by-Side
2,22,Female,KR,KR,KO,Other,5,Yes,Overlaid
34,21,Female,SG,SG,EN,Pop,2,Yes,Side-by-Side
14,22,Male,ID,SG,EN,Jazz,17,Yes,Overlaid
3,24,Male,SG,SG,EN,Pop,3,Yes,Overlaid
29,23,Male,CY,GB,EN,Indie-Rock,0,Yes,Overlaid
36,25,Male,SG,JP,JA,Pop,3,Yes,Side-by-Side
37,25,Male,SG,US,EN,Pop,3,Yes,Overlaid
31,21,Male,CY,CY,EL,Rock,8,Yes,Side-by-Side
7,23,Male,SG,CN,EN,Country,2,Yes,Side-by-Side
19,25,Male,SG,SG,EN,Other,2,Yes,Overlaid
32,23,Female,MY,MY,EN,Classical-music,5,Yes,Side-by-Side
15,22,Female,IN,IN,TA,Classical-music,8,Yes,Side-by-Side
48,30,Male,GR,GB,EN,Rock,14,Yes,Overlaid
22,21,Female,SG,SG,EN,Pop,0,Yes,Overlaid
23,23,Male,SG,SG,ZH,Rhythm-and-Blues,2,Yes,Overlaid
27,23,Male,SG,SG,EN,Indie-Rock,4,Yes,Side-by-Side
25,20,Female,SG,US,EN,Pop,10,Yes,Overlaid
40,35,Female,SG,JP,JA,Pop,12,Yes,Side-by-Side
1,23,Male,SG,SG,EN,Pop,0,Yes,Side-by-Side
47,21,Male,CN,CN,ZH,Pop,0,Yes,Overlaid
8,24,Male,SG,SG,EN,Pop,1,Yes,Overlaid
39,28,Male,HK,HK,JA,Rock,3,Yes,Side-by-Side
12,25,Male,SG,SG,EN,Pop,0,Yes,Side-by-Side
43,23,Male,SG,SG,EN,Pop,0,Yes,Side-by-Side
21,23,Male,SG,NL,EN,Electronic-dance-music,0,Yes,Side-by-Side
45,21,Female,CN,SG,ZH,Rhythm-and-Blues,3,Yes,Side-by-Side
13,23,Male,SG,JP,EN,Techno,2,Yes,Side-by-Side
38,25,Male,CZ,CZ,EN,Metal,9,Yes,Side-by-Side
41,34,Male,CN,JP,JA,Pop,4,Yes,Side-by-Side
20,21,Female,SG,SG,EN,Pop,0,Yes,Side-by-Side
26,23,Male,SG,SG,ZH,Country,0,Yes,Overlaid
0,22,Male,SG,US,EN,Rock,4,Yes,Overlaid
18,21,Female,SG,SG,EN,Pop,6,Yes,Side-by-Side
30,22,Female,SG,SG,EN,Indie-Rock,2,Yes,Overlaid
33,21,Male,SG,CN,ZH,Country,0,Yes,Side-by-Side
17,23,Male,SG,SG,JA,Classical-music,0,Yes,Side-by-Side
16,22,Female,SG,SG,EN,Pop,2,Yes,Side-by-Side
42,32,Male,GR,GB,EN,Metal,10,Yes,Side-by-Side
11,23,Male,SG,SG,EN,Pop,0,Yes,Overlaid
